,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
0,나이스평가정보,기술평가 전문인력 모집 공고,"신입·경력,대졸↑,서울 영등포구,계약직","경영기획, 사업기획, 데이터분석, 신사업기획, 연구기획, 시장분석, 시장조사, 데이터분석, 전략기획, 경영기획, 경영컨설팅, 경영기획, 재무회계, 회계감사, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 네트워크관리, 방화벽, 보안관제, 정보보안, 암호화폐, 핀테크, 시스템분석, 시스템설계, 정보보안, 아키텍처, 클라이언트, SI개발, 모델링, 딥러닝, 자연어처리(NLP), 음성인식, 이미지프로세싱, 인공지능, 챗봇, 암호화폐, DID, 스마트컨트랙트, Dapp, 거래처관리, 고객관리, 외환관리, 금융상품기획, 손해평가, 위험분석·관리, 투자상담·자문, 자산운용, 재무분석, 메카트로닉스, 임베디드, 회로설계, PCB, 메카트로닉스, 자동차, 철강, 플랜트, 제어·설계, 로봇설계, 로봇설계, 디스플레이, 생산기술, 정보통신, 제품개발, 터치스크린, 회로설계, LCD, PCB, 제어·설계, LED·OLED, 생명공학, 에너지, 제품개발, 플라스틱·PVC, 자동제어, 공정개발, 자동화라인, 생명공학, 에너지, 전기·전자, 정보통신·IT, R&D, 건설·교통, 목재·제지, 인문·사회과학, 로봇설계, 반도체·LCD, 신소재, 연구·실험·기술, 조선·항공·우주, 제조·공정, 화학·섬유, 경영·경제연구, 플랜트, 환경측정",https://www.jobkorea.co.kr/Recruit/Co_Read/C/35818613
1,㈜한국무역정보통신,2024년 신규(신입/경력)직원 모집,"신입·경력3년↑,대졸↑,경기 성남시 외,정규직","소프트웨어 개발, 영업마케팅, 전자무역, 정보보호솔루션운영, 플랫폼 개발 및 운영, ISMS, 물류서비스 기획, 디지털무역, 물류서비스 확산, 제휴마케팅, 빅데이터, 방화벽, 보안관제, 정보보안, 정보보안, 아키텍처, 인공지능",https://www.jobkorea.co.kr/Recruit/Co_Read/C/159340
2,㈜제이슨,[안랩-제이슨] (경력)보안프로젝트 PM/PL 모집,"경력5년↑,대졸↑,서울 마포구,정규직","프로젝트 매니저, Elastic Search, poc, Splunk, 보안소프트웨어, 정보보안, 네트워크관리, 서버구축, 시스템설계, 서버관리, 네트워크관리, 서버구축, 시스템운영, 빅데이터, 데이터분석, 네트워크관리, 정보보안, 인공지능, 챗봇",https://www.jobkorea.co.kr/Recruit/Co_Read/C/30815895
3,스마트라이프텍㈜,[스마트라이프텍㈜] 2024년 상반기 각 부문별 신입 / 경력직 채용,"신입·경력1년↑,학력무관,서울 금천구 외,정규직","방송송출·송신, B2B, 기업홍보, 라이센싱, 모션그래픽, 방송기획, 프로모션, 교환·반품, SNS마케팅, 키워드광고, 프로모션, 방송기획, 카페·블로그관리, 민원상담, 방송기획, 브랜딩, 카페·블로그관리, 프로모션, 접수·예약, 영상제작, 게시판관리, 방송제작, 영상제작, 제휴마케팅, SNS마케팅, 고객지원, 모션그래픽, 전자상거래, CS교육, 고객문의분석, 이미지프로세싱, 바이럴마케팅, 키워드광고, 방송제작, 쇼핑몰, 언론홍보, 온라인상담, 시장분석, 기업홍보, 영상제작, SNS마케팅, SEO, 방송제작, SNS마케팅, 언론홍보, 상담품질관리, 매체관리, 콘텐츠기획, 디지털마케팅, 배너광고, 이벤트기획, SEO, 이벤트기획, 고객경험관리",https://www.jobkorea.co.kr/Recruit/Co_Read/C/43834355
4,㈜이글루코퍼레이션,[연구개발본부] IT개발자(QA/웹어플백엔드/ML/데이터분석) 경력 채용,"경력2년↑,초대졸↑,서울 송파구,정규직","인공지능, 검증",https://www.jobkorea.co.kr/Recruit/Co_Read/C/50993
5,㈜시스윈로보틱스,"대기업수준 연봉,복리후생(개발,영업,기구설계,전장,셋업,제작,사무직)","신입·경력,고졸↑,경기 화성시,정규직","기계설계, 기계설비, 자동화설비, 경영기획, 문화기획, 사업기획, 재무기획, 데이터분석, 브랜드기획, 신사업기획, 연구기획, 전략기획, 문서관리, 비품관리, 자산관리, 복리후생, 서무, 행정, 시스템분석, 시스템설계, 정보보안, 아키텍처, 클라이언트, SI개발, 모델링, 딥러닝, 자연어처리(NLP), 음성인식, 이미지프로세싱, 인공지능, 챗봇, 국내영업, 기술영업, 기술지원, 네트워크영업, 반도체영업, 솔루션영업, 시스템영업, 웹사이트구축영업, 하드웨어영업, 기술지원, 설치, 유지보수, A·S수리, 기술지원, 메카트로닉스, 생산기술, 제어·설계, 기계조작, 로봇설계, 3D설계, 기구설계, CAM, 2D설계, 로봇설계, 유지보수, 정보통신, 통신설비, 디스플레이, 생산기술, 제품개발, 터치스크린, 회로설계, LCD, 제어·설계, LED·OLED, 자동화라인, 자동제어, 자동화라인, 기술지원, 설치, 유지보수, 기계조작, 제품개발, 로봇설계, 반도체·LCD, 제조·공정, 조립, 검증, 품질보증, 환경관리, HACCP, ISO",https://www.jobkorea.co.kr/Recruit/Co_Read/C/37812
6,지오소나,드론 소프트웨어 개발자 채용,"신입·경력,초대졸↑,부산 강서구 외,정규직,4,500만원 이상","메카트로닉스, 선박, 빅데이터, 딥러닝",https://www.jobkorea.co.kr/Recruit/Co_Read/C/31951224
7,㈜에스에프에이,2024년 SFA 공개채용 (경력 및 신입),"신입·경력,대졸↑,경기 화성시 외,정규직","생산기술, 제품개발, 빅데이터, 신소재, 기구설계, 솔루션영업, 조립, 회로설계, CAM, 제어·설계, 데이터레이크, 제품개발, 신소재, 음성인식, 회로설계, 시스템영업, 절단, 해외마케팅, 회로설계, 딥러닝, 수출입계약, 시스템분석, 전기·전자, 중국어, 인공지능, 3D설계, 기술영업, 자동화설비, 정보보안, 정보통신·IT, 제조·공정, 바이어개발, 영어, 자동제어, PCB, 기계조작, 자동화라인, 기타외국어, 전기설계, R&D, 자동제어, 제어·설계, 기계설비, 제관, 모델링, 반도체·LCD, 시스템설계, CAM, 2D설계, 연구·실험·기술, 네트워크영업, 회로, 회로설계, PLC, 생산기술, 일본어, 공정개발, 기계조작, 데이터파이프라인, 기술지원, 회로설계",https://www.jobkorea.co.kr/Recruit/Co_Read/C/13058069
8,㈜BNK시스템,2024년도 경력직원 채용공고,"신입·경력2년↑,학력무관,부산 강서구 외,정규직","모바일앱개발, SM, 빅데이터, 계정계, 데이터레이크, Spring security, Pro-C, 솔루션, C#, Python, CSS, MS-SQL, ETL, 정보처리기사, SI, C#.NET, 정보보안, 보안관제, Oracle, 데이터분석, 정보보안, jsp, C/C++, Spring Framework, Java, aps.net, 소프트웨어개발, 데이터파이프라인, 기술지원",https://www.jobkorea.co.kr/Recruit/Co_Read/C/99717
9,㈜티맥스소프트,[TmaxSoft/연구소] AI연구파트장,"경력5년↑,대졸↑,경기 성남시,정규직","BigData, 솔루션, SI, 인공지능, ERP, 모델링, 소프트웨어개발, 자연어처리(NLP)",https://www.jobkorea.co.kr/Recruit/Co_Read/C/309871
