,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
0,(주)클로봇,[클로봇] 딥러닝 기반 인식 SW 개발자 채용,",신입·경력,대졸↑,정규직","딥러닝,RPA,Keras,영상처리,IoT",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47610081&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a7cdc8ca-0a28-47b6-b84e-cb01aba43b2d
1,(주)포스로직,"AI 인공지능, 딥러닝, 이미지 프로세싱 알고리즘 개발 신입 채용",",신입,대졸↑,정규직,4,550 만원","딥러닝,AI(인공지능),OpenCV,OCR,신경망",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47809603&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a7cdc8ca-0a28-47b6-b84e-cb01aba43b2d
2,(주)앤씨앤,컴퓨터 비전 기반 딥러닝 인식 Researcher 모집,",신입·경력,대졸↑,정규직","딥러닝,OpenCV,Python,Pytorch,OpenGL",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47905529&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a7cdc8ca-0a28-47b6-b84e-cb01aba43b2d
3,(주)뉴로다임,AI(딥러닝) 연구 및 개발,",신입·경력,대졸↑,정규직","딥러닝,Keras,SE(시스템엔지니어),Tensorflow,Linux",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41005800&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a7cdc8ca-0a28-47b6-b84e-cb01aba43b2d
4,위드로봇(주),C++ 기반 딥러닝(YOLO) 개발자 신입/경력 채용,",경력 5~20년,대졸↑,정규직","딥러닝,Tensorflow,Ubuntu,C++,머신러닝",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47803682&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a7cdc8ca-0a28-47b6-b84e-cb01aba43b2d
5,블루닷(주),[신입] 딥러닝 알고리즘 엔지니어,",신입·경력,대졸↑,정규직","딥러닝,AI(인공지능),Python,Pytorch,알고리즘",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46523966&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a7cdc8ca-0a28-47b6-b84e-cb01aba43b2d
6,(주)인텔리즈,머신비전 및 딥러닝 응용 소프트웨어 개발자 모집,",경력,초대졸↑,정규직","딥러닝,유지보수,OpenCV,Python,Pytorch",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47644868&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a7cdc8ca-0a28-47b6-b84e-cb01aba43b2d
7,(주)인공지능팩토리,딥러닝 엔니지어 채용,",신입·경력,대졸↑,정규직","딥러닝,모델링,SE(시스템엔지니어),컴퓨터비전,크롤링",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47859638&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a7cdc8ca-0a28-47b6-b84e-cb01aba43b2d
8,(주)알에스엔,[신입/경력] 인공지능 딥러닝 개발자 모집,",신입·경력,대졸↑,정규직","딥러닝,알고리즘,Tensorflow,빅데이터,머신러닝",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47949930&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a7cdc8ca-0a28-47b6-b84e-cb01aba43b2d
9,(주)디퍼아이,[서초구] 딥러닝 임베디드 어플리케이션 SW 청년 개발자 채용,",경력무관,학력무관,정규직","딥러닝,FPGA,Python,Pytorch,컴퓨터비전",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47687740&location=ts&searchword=%EB%94%A5%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=a7cdc8ca-0a28-47b6-b84e-cb01aba43b2d
