,회사명,채용공고 제목,링크
0,브레인즈컴퍼니,ITSM 구축 프로젝트 PM (5년 이상),https://www.wanted.co.kr/wd/215002
1,컨포트랩,프로덕트 매니저(PM/PO) (5년 이상),https://www.wanted.co.kr/wd/214623
2,하우빌드,Server Engineer(5년 이상),https://www.wanted.co.kr/wd/192061
3,다큐브(daquv),백엔드 개발 (8년 이상),https://www.wanted.co.kr/wd/214581
4,덴컴,Front-end 개발자,https://www.wanted.co.kr/wd/214274
5,브이디크럭스,안드로이드 어플리케이션 개발자(5년이상),https://www.wanted.co.kr/wd/193556
6,에너닷,서비스 기획 (PM),https://www.wanted.co.kr/wd/214251
7,앵커스,개발팀 리더 (15년이상),https://www.wanted.co.kr/wd/214885
8,오케스트로,Cloud Infra Engineer Lead,https://www.wanted.co.kr/wd/213448
9,위버스컴퍼니(WEVERSE COMPANY),백엔드개발 (커머스),https://www.wanted.co.kr/wd/214781
10,이제이엠컴퍼니,프론트엔드 엔지니어 (3년 이상),https://www.wanted.co.kr/wd/186343
11,테스트웍스,NLP/LLM 엔지니어,https://www.wanted.co.kr/wd/210245
12,파더스랩,프론트엔드 개발자(5년이상),https://www.wanted.co.kr/wd/214388
13,아이알큐더스,"[개발] SW엔지니어(API, Python)",https://www.wanted.co.kr/wd/213910
14,콜로세움코퍼레이션,[100억↑투자] WMS/Fulfillment 솔루션 Back-end Develop,https://www.wanted.co.kr/wd/214377
15,휴톰,Dev Ops 개발자(3년 이상),https://www.wanted.co.kr/wd/205554
16,온다(ONDA),[100억↑투자] Hospitality Solution 백엔드 개발,https://www.wanted.co.kr/wd/214822
17,피어테크(지닥),[병역특례_보충역/전직] 인프라 엔지니어,https://www.wanted.co.kr/wd/212279
18,핵클(Hackle),Client 기술지원 담당자,https://www.wanted.co.kr/wd/214079
19,엘에스엠케이(LSMK),웹 프론트엔드 개발자,https://www.wanted.co.kr/wd/214935
20,아이브,[100억↑투자] DevOps Engineer,https://www.wanted.co.kr/wd/214285
21,대보정보통신,시스템 연계 개발 (8년이상),https://www.wanted.co.kr/wd/187491
22,매스어답션,백앤드 엔지니어 (Nest.js / 5년 이상),https://www.wanted.co.kr/wd/214642
23,피어테크(지닥),React Native 개발자,https://www.wanted.co.kr/wd/212045
24,삼가,Frontend Developer,https://www.wanted.co.kr/wd/209336
25,뉴로핏(NEUROPHET),SW 검증 전문가,https://www.wanted.co.kr/wd/214697
26,덴컴,음성 AI Researcher,https://www.wanted.co.kr/wd/212282
27,케이존,시니어 백엔드 개발자(3년차 이상),https://www.wanted.co.kr/wd/214615
28,딥세일즈,프론트엔드 개발자 /5년 이상,https://www.wanted.co.kr/wd/213419
29,넥스프론,JAVA/JSP 웹 개발자 (3년 이상),https://www.wanted.co.kr/wd/214315
30,메사쿠어컴퍼니,이미지 프로세싱(오브젝트 트래킹) 전문가_OpenCV,https://www.wanted.co.kr/wd/213577
31,엑스페릭스,바이오인식 / OCR 알고리즘 개발,https://www.wanted.co.kr/wd/207971
32,디앤에스에버(DNS Ever),Frontend (React / Angular) 개발자(5년 이상),https://www.wanted.co.kr/wd/214425
33,씨제이올리브영(CJ올리브영),[디플롯개발팀] Android 앱 개발자,https://www.wanted.co.kr/wd/214719
34,큐피스트(글램),프론트엔드 개발자 (React),https://www.wanted.co.kr/wd/214772
35,제이더블유홀딩스,IT기획(전략) 담당자,https://www.wanted.co.kr/wd/214337
36,엔에이치엔커머스(nhn커머스),PHP 개발자 (서울지사),https://www.wanted.co.kr/wd/214630
37,브레인커머스,[잡플래닛] Front End 개발자 (시니어),https://www.wanted.co.kr/wd/24957
38,북아이피스,Software Engineer:  Studio Squad,https://www.wanted.co.kr/wd/213800
39,위메이드(WEMADE),[디스민즈워] QA 테스터(PC/Console),https://www.wanted.co.kr/wd/213911
40,셀렉트스타,AI NLP 연구원,https://www.wanted.co.kr/wd/160748
41,오엠티아이코리아,[신입] ASP.NET 개발자,https://www.wanted.co.kr/wd/214659
42,알서포트(Rsupport),프론트엔드 개발자 (5년 이상),https://www.wanted.co.kr/wd/197139
43,차란차,프론트엔드 개발자 React (7년 이상),https://www.wanted.co.kr/wd/188040
44,오토패스,"파이썬(Phyton, AWS) 개발자 (3년 이상)",https://www.wanted.co.kr/wd/214645
45,패스트파이브,Python 백엔드 개발자,https://www.wanted.co.kr/wd/203425
46,플라잎,Computer Vision Engineer(전문연구요원 가능),https://www.wanted.co.kr/wd/135235
47,에스티에이테스팅컨설팅(STA),SW 테스트 엔지니어(전자상거래 부문),https://www.wanted.co.kr/wd/214600
48,앰버로드,Project Manager,https://www.wanted.co.kr/wd/212961
49,아이브,[100억↑투자] Vision System SW Junior 개발자,https://www.wanted.co.kr/wd/154609
50,에이젠글로벌,QA,https://www.wanted.co.kr/wd/214762
51,에이아이리더,백엔드 개발자 (5년 이상),https://www.wanted.co.kr/wd/214563
52,에니아이(Aniai),Sr. Backend Developer,https://www.wanted.co.kr/wd/191670
53,이우소프트,Cloud Front-End 개발자(시니어),https://www.wanted.co.kr/wd/200017
54,비주얼신,웹 프론트엔드 개발자(10년 내외),https://www.wanted.co.kr/wd/207086
55,한국네트웍스,WEB시스템 운영/개발,https://www.wanted.co.kr/wd/214459
56,휠라코리아,Fashion ERP 운영/개발 담당자,https://www.wanted.co.kr/wd/214621
57,클루닉스,운영 시스템 개발,https://www.wanted.co.kr/wd/214066
58,크리스틴컴퍼니,프론트앤드 개발자 / 3년 이상(서울),https://www.wanted.co.kr/wd/214989
59,이파피루스,솔루션 엔지니어(부서장급),https://www.wanted.co.kr/wd/209619
60,이도(Yido),자바 개발자,https://www.wanted.co.kr/wd/214913
61,덴컴,AI 응용 프로그램 개발 풀스택 개발자,https://www.wanted.co.kr/wd/212289
62,멀티캠퍼스,시스템 개발 분석/설계자,https://www.wanted.co.kr/wd/208365
63,오케스트로,Cloud Infra Operation Lead,https://www.wanted.co.kr/wd/213449
64,핌아시아,프론트엔드 개발자(4년 이상),https://www.wanted.co.kr/wd/200689
65,브이디크럭스,솔루션 QA 담당자(3-7년),https://www.wanted.co.kr/wd/214255
66,유비케어,데이터분석,https://www.wanted.co.kr/wd/214216
67,먼치팩토리,프로덕트 매니저,https://www.wanted.co.kr/wd/212973
68,데키스트,PHP 웹 개발자,https://www.wanted.co.kr/wd/214398
69,윌로그,프론트엔드 개발 시니어 (5년 이상 10년 이하),https://www.wanted.co.kr/wd/208056
70,펜타시큐리티,백엔드 웹 개발 리더,https://www.wanted.co.kr/wd/207982
71,파인더스에이아이,Computer Vision AI Engineer_Junior,https://www.wanted.co.kr/wd/207251
72,알서포트(Rsupport),RemoteView 솔루션 PM (5년 이상),https://www.wanted.co.kr/wd/214834
73,피어테크(지닥),[병역특례_보충역/전직] 프론트엔드 개발,https://www.wanted.co.kr/wd/212278
74,페이플,"백엔드 개발 시니어(리드, 팀장)",https://www.wanted.co.kr/wd/213742
75,래딕스글로비즈,[UNLOCK] 하이브리드 APP 개발 (3년 이상),https://www.wanted.co.kr/wd/182136
