,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
0,(주)코난테크놀로지,2024년 상반기 각 부문 신입/경력 상시 채용,"서울전체 외,신입경력정규직,대학교(4년)↑","기술지원,데이터분석가,데이터엔지니어,백엔드/서버개발,앱개발",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47370206&adsCategoryItem=effect_bold&
1,(주)엠트리센,2024 상반기 정기 공개 채용,"서울전체 외,경력정규직,학력무관","데이터엔지니어,백엔드/서버개발,유지보수,프론트엔드,SE(시스템엔지니어)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47994255&adsCategoryItem=effect_bold&
2,(주)이프정보시스템,"금융IT, 은행IT, 증권IT, 프론트엔드, 백엔드 개발자 신입, 경력","서울전체 외,신입경력정규직,대학교(4년)↑","데이터분석가,데이터엔지니어,앱개발,웹개발,웹마스터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47931807&adsCategoryItem=effect_bold&
3,(주)럭스로보,VISION SW 개발 경력자 채용,"서울 서초구,3 ~ 12년정규직,대학교(4년)↑","데이터분석가,데이터엔지니어,백엔드/서버개발,SE(시스템엔지니어),네트워크",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47758899
4,(주)메디웨일,머신러닝 엔지니어 채용,"서울 강남구 외,경력 3년↑정규직,고졸↑","딥러닝,머신러닝,빅데이터,알고리즘,클라우드",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=48000386
5,(주)오누이,[에듀테크 스타트업 오누이] 분야별 채용,"서울전체 외,신입경력정규직 외,대학(2,3년)↑","기술지원,데이터분석가,데이터엔지니어,백엔드/서버개발,앱개발",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47887841&adsCategoryItem=effect_bold&
6,(주)엘렉시,비전(Vision) 응용 소프트웨어 개발자 채용(병역특례가능),"서울 송파구,3 ~ 15년정규직 외,대학교(4년)↑","앱개발,영상처리,정보통신,컴퓨터비전,쉘스크립트",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47996731
7,(주)스피링크,[인재풀] LLM 기반 AI 서비스 개발 프리랜서 상시 모집,"서울전체 외,경력 3년↑프리랜서,대학교(4년)↑","딥러닝,머신러닝,모델링,알고리즘,챗봇",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47977996
8,(주)스피링크,[인재풀] AI 챗봇 개발 프리랜서 상시 모집(Back/Front),"서울전체 외,경력 5년↑프리랜서,학력무관","백엔드/서버개발,웹개발,프론트엔드,SI개발,딥러닝",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47962191
9,(주)아이스크림아트,AI 연구소 - AI기반 연구팀 경력직 채용,"서울 강남구,2 ~ 10년정규직,대학교(4년)↑","딥러닝,머신러닝,DevOps,AI(인공지능),Linux",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47995015
